wellid,Measurements
312656109390901,11
313631111031501,14
313658111031201,36
313727111024501,34
313817111141001,27
314530109413101,5
314557109392401,3
314806109423301,20
315636110172401,2
315646109521101,14
320732111003701,3
320752111074201,17
321030110513001,27
321259110473001,34
321303110474601,34
321404110524401,25
321502110593201,8
321506110485301,35
321509110593101,27
321512110593701,19
321514110515901,8
321525110521001,8
321531110574601,32
321531111002201,22
321543110491001,36
321547110512701,35
321559110591001,36
321604110593601,4
321605110501401,36
321617110584401,28
321646110595701,34
321658111000901,36
321817111135101,7
321819110592201,36
321823110485001,30
321836111155101,14
321845111004501,34
321846110592801,36
321859111155101,15
321900111014001,36
322004110583804,15
322018110585401,26
322039110593901,21
322133111013501,35
322155111010301,36
322156111004301,35
322202110025701,27
322202111004501,36
322223111003901,33
322250110594401,35
322336111162701,29
322342111161001,34
322429111164501,15
322440111080301,19
322714111120901,35
322805111140201,6
322847111174301,29
322852111202101,36
322945111191801,6
323442111392101,35
323541111330501,1
323556111281601,33
323943111330801,6
324005111371101,2
324314111285501,36
324405111302501,36
324418111404901,36
324432111265201,24
324842111582001,5
324853111513801,2
325112111401701,15
325248111421901,21
325316111412701,36
325329112405301,12
325409111432001,23
325508112035501,10
325509111405501,34
330119111323001,11
330315111225001,12
330424111594601,24
330753111241901,11
330846111302801,10
330916111262001,12
331001111315801,8
331037111324201,9
331219111322901,3
331245111314201,8
331303111304201,27
331312111410801,36
331324111370001,5
331410111324401,24
331456111390501,15
331532111200901,11
331640111090801,31
331749112445701,28
331803111172901,23
331908112533201,1
331908112540601,2
331934112463001,5
331934112463101,5
331955112553301,2
332002112093601,2
332009111471501,33
332011111471401,33
332015112465001,2
332121112110901,20
332209111002501,8
332241113124801,20
332243112065801,6
332332111333401,31
332357113124701,1
332416112454301,29
332449113080901,3
332449113123001,7
332513113124701,1
332602112312901,34
332637113134801,7
332749113063901,14
332752112492301,31
332752112560901,34
332817112523401,16
332856111451401,21
332939112594901,16
333147112530001,33
333216112475201,1
333237112530501,32
333252113013801,1
333358113231001,6
333724112423601,2
333943112075101,33
334001112220701,35
334056112445001,1
334109112131201,32
334513112380501,12
334641111582901,12
334646111583301,12
334750112082001,11
334814112094701,3
334953112101001,4
334954109084501,5
335155112093301,3
340808109165001,11
341344111194301,8
341348111195001,7
341353111195101,14
341402111191301,14
341605111193601,13
342356110325601,14
342444112363401,7
342623109382901,14
345434110171201,36
