,mean
,depth
basinid,
AGF,73.04871664548924
AGV,215.39535000000006
ALF,257.1447398843932
ALR,273.33773279352215
ARA,65.47439189189184
AVR,268.0786527326657
BIC,146.6978429172508
BON,8.92
BRB,27.0
BUR,103.95111111111112
BUT,230.1745139813584
CCK,104.33909090909093
CGW,80.01591194968556
CHV,360.81396396396394
CIB,90.64487999999999
CLA,79.64088235294115
COP,435.1619345238095
CRF,205.5743220338984
CRI,19.926757679180895
DEN,86.35032467532466
DET,374.7883901515147
DIN,117.67336069779373
DNM,79.93906488549608
DON,42.4571052631579
DOU,118.21633464394942
DSW,83.9461073825503
DUN,47.71228723404261
ELO,219.4533165616217
ESR,285.3978369755943
FNH,177.8259866220738
FTR,300.4615300546445
GIL,182.65607159791298
GSK,335.696551724138
GWA,261.20308823529416
HAR,375.13522466960336
HAS,189.6885184552288
HUA,461.03654487688664
JCI,95.4274896265561
KAN,200.45605769230775
LCR,272.73772106577803
LIC,164.9246506584043
LKH,61.24266666666666
LKP,136.83469696969723
LPC,141.53254355400705
LVR,140.10264120922847
MAM,66.26615499700789
MEA,417.8744690265487
MHV,88.73123287671237
MMU,351.9078566176475
MOR,123.32268656716414
MST,302.785638897588
PAR,346.76459244532737
PIN,476.0
PSC,333.8066118421053
RAN,205.92564442180355
SAC,352.8155607205113
SAF,43.80229378765843
SBV,141.42552287581688
SCA,56.07442256583714
SEV,153.62816611501762
SHV,263.3183333333333
SKU,144.7732337164753
SMR,48.2650892857143
SRF,30.365930232558142
SRL,25.866586580720735
SRO,196.33336969696984
SSI,148.36583780880804
SSW,256.11784061696676
TIG,145.37800000000001
TON,50.542025469981795
UAG,200.56926633165835
UHA,288.5246994535521
USC,102.79711820586039
USR,91.42941176470588
VEK,342.2064022140219
VER,159.13442913385802
VRG,187.36095238095237
WAT,353.3290062111801
WEM,111.11672727272723
WIK,105.96019442096373
WIL,161.69206861848093
WMD,80.7056701754384
WRB,186.0
WSR,194.58072362824348
YUM,51.91550413223147
